Disease,Feature,Description
Cotton Boll Rot,Fungisides,"Copper oxychloride: Apply as a spray on leaves and bolls to prevent disease spread (dosage: 2.5 g/L water)
Carbendazim: Spray to manage external boll rot (dosage: 2 g/L water)
Mancozeb: Spray to control boll rot and foliar diseases
Propiconazole: Spray to manage external boll rot (dosage: 1 ml/L water)
Kresoxim-methyl: Spray to manage external boll rot (dosage: 1 ml/L water)
Pyraclostrobin + Metiram: Spray for boll rot and foliar diseases (dosage: 2 g/L water)
Azoxystrobin + Difenoconazole: Spray for boll rot and foliar diseases (dosage: 1 ml/L water)
Tebuconazole: Spray for boll rot and foliar diseases
Trifloxystrobin + Tebuconazole: Spray for boll rot and foliar diseases
Mancozeb 80 WP (dosage: 4 ml/L water)
Copper oxychloride (dosage: 5 ml/L water)
Mancozeb + Copper oxychloride (0.4% each, dosage: 4 ml + 5 ml/L water)
Streptomycin sulphate (dosage: 1 ml of 1% stock solution per 1 L water)"
Cotton Boll Rot,Preventive_measeures,"Avoid excess nitrogen application (Young and succulent plants are highly susceptible) 
 Avoid excess irrigation water supply 
Avoid late sowing Adoptwider spacing 
Remove inoculum trashes from field 
Regular Monitoring of fields for symptoms on matured bolls present in the lower canopy of the plants during rainy season 
Regularly inspect the crop for signs of boll rot, such as bolls that are dark, black, and rotted instead of white and fluffy. 
Use certified, pathogen-free seeds 
Reduce canopy density 
Manage irrigation and avoid waterlogging 
Monitor insect infestations 
Use disease-free, certified seeds. 
Remove and destroy infected bolls/debris to reduce inoculum. 
Avoid continuous cotton planting; rotate with non-host crops. 
Ensure proper plant spacing for airflow to reduce humidity. "
,,
Leaf Redding,Symptoms,"At the edges, the leaves begin to turn red and slowly become reddish and turn dry and start to drop. "
Leaf Redding,Favorable_Conditions,"magnesium deficiency 
lower Nitrogen content in soil and leaves 
high temperature during the day coupled with low temperature at night 
water stress and waterlogging "
Leaf Redding,Physical_measures,"Timely application of proper insecticides for the control of sucking pests especially jassid 
Provide adequate nitrogen to the plants by giving additional dose of nitrogen 
Provide irrigation immediately after soil moisture deficiency occurs  "
Leaf Redding,Pesticides,"urea @2% (dosage:Foliar application) 
DAP @2 % and MgSO4@1% (dosage:Foliar application) 
1 to 1.5 % urea or DAP @ 2% (dosage:spray 2  to 3 times every after 10 days) 
1 to 1.5% magnesium sulphate (dosage:Once in a week) 
Ascorbic Acid 500 ppm + PMA 10 ppm (dosage:spray if needed) 
Magnesium Sulphate (dosage:8 kg/acre) 
0.2% Magnesium Sulphate (dosage:30 gram per pump at flowering time) 
2% KNO₃ (Potassium Nitrate) (dosage:Foliar application) 
2% Urea + 1% Single Super Phosphate (SSP) 
MgSO₄ (5%) + Urea (1%) 
15–20 ppm chlormequat chloride + 0.1% citric acid along with urea "
Leaf Redding,Preventive_measeures,"Take care that water should not be stagnant at one place while giving the irrigation. 
Before seed sowing, azatobacter seed treatment should be done 30 gm per kg 
Before soil testing, give dose of chemical fertilisers according to the soil. 
Select cultivars resistant to leaf reddening"
,,
Leaf Variegation,Symptoms,"uneven white to yellow discoloration of portions of leaves and sometimes stems.
Sometimes some veins may become discolored while the rest of the leaf tissue is dark green.
 the lack of chlorophyll can lead to stunted growth
Albino leaf margins with lack of photosynthesis
Poor chloroplast development in white sectors
Yellow leaf margins with green interior
Reduced chlorophyll in yellow sectors
Increased carotenoids and ROS (Reactive Oxygen Species) accumulation
Irregular color patterns (white/yellow/green mosaic)
Loss of uniform green coloration
Stripes, blotches, and streaks of white, cream, or yellow on leaves"
Leaf Variegation,Favorable_Conditions,"lack of the pigment chlorophyll in some portions of the leaf tissues
genetic or physiologic abnormality
Low temperature (10°C and below)
Cold stress conditions
Viral infections
Nutrient imbalance
Environmental stress
Medium to low light (shaded greenhouses)"
Leaf Variegation,Physical_measures,"Remove and destroy infected plants to reduce sources of viral and bacterial inoculum.
Control vector populations  through physical barriers or traps to reduce disease spread.
Maintain field sanitation by removing plant debris that can harbor pathogens 
Early detection via visual inspection and Field-level monitoring 
Use of light control (shade percentage) 
Digital quantification using Photoshop for pattern analysis"
Leaf Variegation,Biological,"no direct environmental cause for this disorder, no biological treatment are available to treat it"
Leaf Variegation,Fungisides,Leaf variegation itself does not respond to fungicides as it is not a fungal disease
Leaf Variegation,Preventive_measeures,"Use certified seeds from known varieties/hybrids.
Be sure that the seeds are free of genetic abnormalities can help to prevent Leaf Variegation
Exploit natural variegation for cold resistance
Use variegated cultivars like ""Variegatum"" for cold climates
Avoid stress conditions
Nutrient management
Use AI-based disease detection tools for early control
Maintain consistent light conditions
Avoid light stress to preserve variegation
Use for breeding and selection of variegated cultivars
Not preventable agronomically
Useful for studying heteroplasmy and variegation genetics"
,,
Target spot,Symptoms,"Lesions with irregular concentric rings (caused by Corynespora cassiicola). 
Premature defoliation, especially starting in the lower canopy. 
Lesions and defoliation commonly appear as cotton nears blooming. 
Lesions are light to dark brown necrotic spots with concentric rings 
Lesions appear on mature mainstem and subtending leaves in the lower canopy at canopy closure, 1 to 3 weeks after first bloom 
Lesions typically larger than 1⁄4 inch in diameter 
Infected leaves may remain dark green or turn yellow 
Premature defoliation starting in the lower canopy 
Lesions typically begin on lower leaves. 
Water splash from infected debris causes spread. 
Infection can move upward causing premature defoliation. 
Lesions may also appear on bolls and boll bracts. 
Defoliation begins in the interior canopy and bottom of the plant. 
Infection in the middle of the plant may cause boll abortion. 
Infection at the top may cause arrested boll development and unharvestable bolls. 
Premature defoliation (10% to 95% depending on severity). 
Severe defoliation leads to yield loss due to reduced boll retention. "
Target spot,Favorable_Conditions,"Warm, wet, and humid weather 
Higher planting densities or narrow row spacing. 
Excessive nitrogen (N) fertilizer application. 
Narrow row spacing 
Vigorous growth 
Moderate temperatures between 77 and 86°F 
Extended periods of leaf wetness. 
Rank growth. 
Stressful crop conditions: Too dry, too wet, insect/storm damage, poor fertility. 
Disease spread from water splashing soil debris to lower leaves. "
Target spot,Physical_measures,"Scouts should be on the lookout for target spot and defoliation starting in the lower canopy 
No variety resistance identified, but more severe where dense canopy is allowed to develop 
Timely application of plant growth regulator. 
Scheduled irrigation to manage rank growth and avoid stress. "
Target spot,Fungisides,"Fluxapyroxad + Pyraclostrobin (dosage: 147.9–215.9 ml/acre)
Pyraclostrobin (dosage: 177.4–354.9 ml/acre)
Fluxapyroxad + Pyraclostrobin (dosage: 118.3–236.6 ml/acre)
Azoxystrobin (dosage: 177.4–266.2 ml/acre)
Trifloxystrobin + Prothioconazole (dosage: 147.9 ml/acre)
Azoxystrobin + Propiconazole (dosage: 207.0–251.4 ml/acre)
Strobilurin fungicides (azoxystrobin, pyraclostrobin) (dosage: apply between 1st and 3rd week of bloom)
Fluxapyroxad + Pyraclostrobin (dosage: 1,012 ml/ha)
Fluxapyroxad + Pyraclostrobin + Azoxystrobin (dosage: 1,012 ml/ha + 404 ml/ha)
Fluxapyroxad + Pyraclostrobin (dosage: 591 ml/ha)
Fluxapyroxad + Pyraclostrobin (dosage: 296 ml/ha)
Fluxapyroxad + Pyraclostrobin + Chlorothalonil (dosage: 591 ml/ha + 473 ml/ha)
Propiconazole + Azoxystrobin (dosage: 960 ml/ha)
Fluxapyroxad + Pyraclostrobin (dosage: 1,012 ml/ha)"
Target spot,Preventive_measeures,"Avoid dense canopy conditions 
Don’t use excessive nitrogen rates 
Avoid higher planting rates and narrow row spacing 
Target fungicide application around the third week of bloom for best results. 
Mitigate crop stress from moisture extremes, insects, storms, and poor fertility. 
Control rank growth through growth regulators and proper irrigation. 
Fungicide applications during early bloom for disease suppression. 
Avoid dense canopies (manage nitrogen, row spacing). 
Monitor fields early (scout for lower leaf lesions). 
Adjust irrigation to reduce prolonged leaf wetness. "
